Response,Emotions,Zone Type,Participant External Session ID,Reaction Time,Task Name,Participant Private ID
BLUE,BORED,response_markdown,5f3165a20f10d5642fa4a88c,5553.270000033081,3_ Emotion & Color Association Phase_ENGLISH,1835592.0
RED,DISGUSTED,response_markdown,5f3165a20f10d5642fa4a88c,1253.370000049472,3_ Emotion & Color Association Phase_ENGLISH,1835592.0
YELLOW,EXCITED,response_markdown,5f3165a20f10d5642fa4a88c,674.5500001125038,3_ Emotion & Color Association Phase_ENGLISH,1835592.0
RED,ANGRY,response_markdown,5f3165a20f10d5642fa4a88c,1658.5949999280274,3_ Emotion & Color Association Phase_ENGLISH,1835592.0
RED,STRESSED,response_markdown,5f3165a20f10d5642fa4a88c,211.6499999538064,3_ Emotion & Color Association Phase_ENGLISH,1835592.0
YELLOW,SURPRISED,response_markdown,5f3165a20f10d5642fa4a88c,1688.1599999032917,3_ Emotion & Color Association Phase_ENGLISH,1835592.0
ORANGE,FRUSTRATED,response_markdown,5f3165a20f10d5642fa4a88c,3880.69500005804,3_ Emotion & Color Association Phase_ENGLISH,1835592.0
GREEN,SATISFIED,response_markdown,5f3165a20f10d5642fa4a88c,233.100000070408,3_ Emotion & Color Association Phase_ENGLISH,1835592.0
GREEN,SERENE,response_markdown,5f3165a20f10d5642fa4a88c,849.2000000551343,3_ Emotion & Color Association Phase_ENGLISH,1835592.0
RED,AFRAID,response_markdown,5f3165a20f10d5642fa4a88c,577.2800000850111,3_ Emotion & Color Association Phase_ENGLISH,1835592.0
YELLOW,HAPPY,response_markdown,5f3165a20f10d5642fa4a88c,976.0150001384318,3_ Emotion & Color Association Phase_ENGLISH,1835592.0
BLUE,SLEEPY,response_markdown,5f3165a20f10d5642fa4a88c,3170.7450000103563,3_ Emotion & Color Association Phase_ENGLISH,1835592.0
BLUE,TIRED,response_markdown,5f316576fc40b262ceb42fad,4447.0,3_ Emotion & Color Association Phase_ENGLISH,1835556.0
YELLOW,SURPRISED,response_markdown,5f316576fc40b262ceb42fad,374.0,3_ Emotion & Color Association Phase_ENGLISH,1835556.0
YELLOW,HAPPY,response_markdown,5f316576fc40b262ceb42fad,2765.0,3_ Emotion & Color Association Phase_ENGLISH,1835556.0
BLUE,SAD,response_markdown,5f316576fc40b262ceb42fad,934.0,3_ Emotion & Color Association Phase_ENGLISH,1835556.0
GREEN,DISGUSTED,response_markdown,5f316576fc40b262ceb42fad,1018.0,3_ Emotion & Color Association Phase_ENGLISH,1835556.0
RED,AFRAID,response_markdown,5f316576fc40b262ceb42fad,3454.0,3_ Emotion & Color Association Phase_ENGLISH,1835556.0
RED,ALARMED,response_markdown,5f316576fc40b262ceb42fad,357.0,3_ Emotion & Color Association Phase_ENGLISH,1835556.0
YELLOW,STRESSED,response_markdown,5f316576fc40b262ceb42fad,1655.0,3_ Emotion & Color Association Phase_ENGLISH,1835556.0
GREEN,SERENE,response_markdown,5f316576fc40b262ceb42fad,739.0,3_ Emotion & Color Association Phase_ENGLISH,1835556.0
RED,FRUSTRATED,response_markdown,5f316576fc40b262ceb42fad,4661.0,3_ Emotion & Color Association Phase_ENGLISH,1835556.0
GREEN,SATISFIED,response_markdown,5f316576fc40b262ceb42fad,1120.0,3_ Emotion & Color Association Phase_ENGLISH,1835556.0
RED,ANGRY,response_markdown,5f316576fc40b262ceb42fad,338.0,3_ Emotion & Color Association Phase_ENGLISH,1835556.0
BLUE,BORED,response_markdown,5f316576fc40b262ceb42fad,2167.0,3_ Emotion & Color Association Phase_ENGLISH,1835556.0
YELLOW,ASTONISHED,response_markdown,5f316576fc40b262ceb42fad,576.0,3_ Emotion & Color Association Phase_ENGLISH,1835556.0
YELLOW,EXCITED,response_markdown,5f316576fc40b262ceb42fad,1491.0,3_ Emotion & Color Association Phase_ENGLISH,1835556.0
BLUE,DEPRESSED,response_markdown,5f316576fc40b262ceb42fad,1642.0,3_ Emotion & Color Association Phase_ENGLISH,1835556.0
BLUE,SLEEPY,response_markdown,5f316576fc40b262ceb42fad,1482.0,3_ Emotion & Color Association Phase_ENGLISH,1835556.0
BLUE,CALM,response_markdown,5f316576fc40b262ceb42fad,741.0,3_ Emotion & Color Association Phase_ENGLISH,1835556.0
GREEN,DISGUSTED,response_markdown,5f3164c6314d5664b7269a19,1235.244999988936,3_ Emotion & Color Association Phase_ENGLISH,1835535.0
RED,ANGRY,response_markdown,5f3164c6314d5664b7269a19,1523.6000000149943,3_ Emotion & Color Association Phase_ENGLISH,1835535.0
YELLOW,ASTONISHED,response_markdown,5f3164c6314d5664b7269a19,193.6349999741651,3_ Emotion & Color Association Phase_ENGLISH,1835535.0
BLUE,SAD,response_markdown,5f3164c6314d5664b7269a19,568.9649999840185,3_ Emotion & Color Association Phase_ENGLISH,1835535.0
RED,STRESSED,response_markdown,5f3164c6314d5664b7269a19,856.1599999666214,3_ Emotion & Color Association Phase_ENGLISH,1835535.0
BLUE,TIRED,response_markdown,5f3164c6314d5664b7269a19,176.39999999664724,3_ Emotion & Color Association Phase_ENGLISH,1835535.0
YELLOW,EXCITED,response_markdown,5f3164c6314d5664b7269a19,1052.3149999789894,3_ Emotion & Color Association Phase_ENGLISH,1835535.0
PURPLE,SATISFIED,response_markdown,5f3164c6314d5664b7269a19,1222.2649999894202,3_ Emotion & Color Association Phase_ENGLISH,1835535.0
